 parcel  t0         x0          y0              z0
   123   4980.0000  70369.5312  98790.2344    111.1065
   124   4980.0000  70414.2578  98841.0781     30.9047
   125   4980.0000  70961.7266  98490.7188      1.2737
   126   4980.0000  70975.4844  98017.7344      0.3894
   127   4980.0000  69905.7656 100669.5156      7.8501
   128   4980.0000  70363.6641  98769.2500    209.1951
   129   4980.0000  70449.1797  98775.5938    113.2376
   130   4980.0000  70545.5625  98794.0781     31.9373
   131   4980.0000  70747.8516  98660.6797      6.2496
   132   4980.0000  70771.5000  98668.9609     15.0711
   133   4980.0000  70682.9375  98752.5469    111.0470
   134   4980.0000  70419.7109  98738.3047    202.3594
   135   4980.0000  70499.2734  98724.9688     97.1204
   136   4980.0000  70568.0312  98691.4844     60.4358
   137   4980.0000  70628.7422  98622.1328     25.3993
   138   4980.0000  70693.9688  98390.3203      2.1300
   139   4980.0000  70583.3906  98768.1250     48.6497
   140   4980.0000  70823.4297  98569.0312     64.4753
   141   4980.0000  70528.8516  98628.1875    109.1181
   142   4980.0000  70574.1875  98586.6875     61.6940
   143   4980.0000  70591.6406  98531.3281     50.1979
   144   4980.0000  70540.9219  98446.9922     28.1113
   145   4980.0000  70473.2812  98723.3672    241.4054
   146   4980.0000  70740.1797  98458.9844     82.1769
   147   4980.0000  70581.9297  98675.1250    213.4189
   148   4980.0000  70406.4609  98468.5781    166.5708
   149   4980.0000  70419.0703  98453.4297     74.8683
   150   4980.0000  70400.4922  98447.2422     36.3735
   151   4980.0000  70359.2969  98443.7109     25.9297
   152   4980.0000  70194.9062  98519.6484     17.1987
   153   4980.0000  69977.8516  99332.1172      0.1817
   154   4980.0000  69847.1328  98511.1094      6.8840
   155   4980.0000  70593.1875  98352.7188     74.9035
   156   4980.0000  70657.1250  98458.8594    118.4992
   157   4980.0000  70634.5469  98536.0703    161.2429
   158   4980.0000  70447.0391  98342.5312    186.7055
   159   4980.0000  70379.4453  98335.5234    148.5473
   160   4980.0000  70286.8984  98344.2109    110.8117
   161   4980.0000  69886.9531  98547.8672     31.6726
   162   4980.0000  69789.9141  98740.1953     17.4057
   163   4980.0000  69969.9375  98606.3203     36.7549
   164   4980.0000  70072.3828  98538.9141     63.3479
   165   4980.0000  70119.2812  98513.6875     96.2984
   166   4980.0000  69973.3594 100547.0547     17.2250
   167   4980.0000  70648.0391  99967.1328      0.9844
   168   4980.0000  70530.7422  99733.1797      0.7416
   169   4980.0000  70404.5938  99590.4922      0.4860
   170   4980.0000  70258.7031  99489.2422      0.3981
   171   4980.0000  70150.7500  99498.3750      0.6305
   172   4980.0000  70116.0859  99928.4062      0.6400
   173   4980.0000  70366.6875  98420.8750     32.4647
   174   4980.0000  69387.6719 100345.1484      1.8792
   175   4980.0000  69664.5000 100139.0234      3.6656
   176   4980.0000  69863.0703  99728.7344     17.4735
   177   4980.0000  69858.0547  99658.1641     19.0810
   178   4980.0000  69860.5859  99566.0156     22.8209
   179   4980.0000  70181.6250  98526.1328     52.8130
   180   4980.0000  69779.3906 100613.4609     18.9518
   181   4980.0000  70047.2422  98796.5703     35.4804
   182   4980.0000  71074.7266  98066.5469      5.9821
   183   4980.0000  70059.1484  99178.1562     14.6538
   184   4980.0000  70323.5781  98474.3672    209.4418
   185   4980.0000  70984.6641  98294.4531      6.1905
   186   4980.0000  70119.0391 100087.1641      3.9844
   187   4980.0000  70093.2031  98738.1328     70.9752
   188   4980.0000  70578.9531  98767.4609    125.4014
   189   4980.0000  70865.9531  98414.6172     13.3192
   190   4980.0000  70214.6016  99230.8203     10.6523
   191   4980.0000  70679.2734  98643.7891     85.3551
   192   4980.0000  70404.4375 100112.4375      1.3190
   193   4980.0000  70692.0547  98560.3984     69.7845
   194   4980.0000  70475.3047  98293.7344     18.1712
   195   4980.0000  70514.1719  99726.7656      8.6033
   196   4980.0000  70637.3906  98447.0625     49.3466
   197   4980.0000  70098.8203  98963.9375     73.9406
   198   4980.0000  70369.9766  98424.9062    150.6815
   199   4980.0000  70043.3047  98514.9062      2.7930
   200   4980.0000  70361.3281  99761.9844      5.7336
   201   4980.0000  69976.3750  98978.2344      6.5530
   202   4980.0000  70257.9922 100109.8672      6.9994
   203   4980.0000  70024.8359  99415.1250     27.3939
   204   4980.0000  69732.4453 100508.3906      0.2875
   205   4980.0000  70185.5859 100212.3750     13.4423
   206   4980.0000  70651.9766  98843.1641     25.6381
   207   4980.0000  70955.2734  98550.3438      0.5412
   208   4980.0000  70354.6250  98846.7344     13.1109
   209   4980.0000  70304.7422  98816.0312     38.1606
   210   4980.0000  70465.0703  98886.0547     64.3691
   211   4980.0000  70561.4922  98846.2422      3.9224
   212   4980.0000  70347.7969  98813.8984     16.0235
   213   4980.0000  70308.9062  98782.3594     35.6306
   214   4980.0000  70299.2188  98813.1406     57.0870
   215   4980.0000  70743.5938  98709.3125      1.9883
   216   4980.0000  70431.1016  98853.3281      7.8319
   217   4980.0000  70352.1953  98834.5234     15.0140
   218   4980.0000  70359.5547  98853.9844     21.7154
   219   4980.0000  70636.5781  98849.0156     23.1081
   220   4980.0000  70772.0312  98678.3125     91.4640
   221   4980.0000  70334.5156  98327.1328    190.2809
   222   4980.0000  69753.7969  98595.7969     32.4675
   223   4980.0000  69311.6641  99630.4297      2.1973
   224   4980.0000  69580.6719  99498.9688      4.1498
   225   4980.0000  69705.8828  99460.4531      6.2782
   226   4980.0000  69765.3594  99465.5312      8.2417
   227   4980.0000  69800.8125  99480.5469     10.2500
   228   4980.0000  69815.5938  99497.9297     11.7272
   229   4980.0000  69823.6016  99517.6875     12.9193
   230   4980.0000  69828.6719  99524.7500     14.1479
   231   4980.0000  69830.5547  99527.3359     15.3024
   232   4980.0000  69829.9766  99518.2188     16.6444
   233   4980.0000  69836.3516  99487.4766     19.4524
   234   4980.0000  69853.1328  99433.0703     25.2819
   235   4980.0000  70930.6250  98486.8594      0.3407
   236   4980.0000  71046.4062  98213.4297      0.1631
   237   4980.0000  70344.1719  98261.6797     11.6555
   238   4980.0000  70704.9609  98378.3750     66.4715
   239   4980.0000  70704.0234  98499.8828    127.5599
   240   4980.0000  70612.2812  98477.5938    231.0135
   241   4980.0000  70611.5547  98443.4844    209.3500
   242   4980.0000  70516.5078  98345.3359    127.1501
   243   4980.0000  70426.6328  98326.8516     91.5156
   244   4980.0000  70278.0703  98339.3906     56.0378
   245   4980.0000  71036.8594  98103.7734      0.8031
   246   4980.0000  70871.9609  98538.2500      5.6032
   247   4980.0000  70788.5625  98544.1328     11.5618
   248   4980.0000  70642.7969  98353.9688      6.1166
   249   4980.0000  70435.8125  98331.2344      2.6461
   250   4980.0000  70059.1719  98753.7422     54.5011
   251   4980.0000  70134.2969  98612.3516     91.0016
   252   4980.0000  70706.3516  98645.6562     74.4971
   253   4980.0000  70085.4297  98759.4766     78.4196
   254   4980.0000  70705.2891  98571.4297     62.7263
   255   4980.0000  70231.6562  99773.3750      3.5071
   256   4980.0000  70111.2578  98962.1094     52.5511
   257   4980.0000  70612.5469  98378.9141     28.8675
   258   4980.0000  70348.9531 100251.3672      1.9330
   259   4980.0000  70210.7188  99225.6250     19.0619
   260   4980.0000  70315.8125  98396.5547     11.4442
   261   4980.0000  70328.9219  99688.2578      5.0486
   262   4980.0000  69894.9766  99230.4766      1.1328
   263   4980.0000  69969.5156 100467.7891      1.9097
   264   4980.0000  68788.4297 100409.5703      1.0447
   265   4980.0000  68916.4766 100476.5781      1.2591
   266   4980.0000  69006.4219 100551.9766      1.4440
   267   4980.0000  69044.8125 100663.4688      1.5578
   268   4980.0000  69047.0234 100791.3203      1.6295
   269   4980.0000  70256.2500  98332.6172    157.9215
   270   4980.0000  70435.7188  98317.6016    147.1103
   271   4980.0000  70871.3672  98374.4453     16.8584
   272   4980.0000  70821.1094  98546.6094     67.9145
   273   4980.0000  70688.6484  98647.6094    128.4551
   274   4980.0000  70659.8906  98465.5625    174.5417
   275   4980.0000  70641.9531  98393.5625    137.0788
   276   4980.0000  70553.9141  98329.4531     96.0580
   277   4980.0000  70358.3359  98304.6719     50.2755
   278   4980.0000  70301.5938  98827.2969    192.7206
   279   4980.0000  70381.4219  98828.1328    124.4313
   280   4980.0000  70579.7344  98804.8828     49.7232
   281   4980.0000  70694.8438  98633.3047     21.1570
   282   4980.0000  70516.6406  98334.1094      4.5545
   283   4980.0000  70175.2266  98533.8828     81.9228
   284   4980.0000  70900.7578  98516.2422     17.4679
   285   4980.0000  70681.3125  98668.3359     73.5158
   286   4980.0000  70228.8672  98356.8125      6.7666
   287   4980.0000  70076.9609  98940.2891     53.7663
   288   4980.0000  70038.3047  98996.2422     99.6442
   289   4980.0000  70122.8828 100307.8125     14.5113
   290   4980.0000  70435.4219  99991.2109     12.2023
   291   4980.0000  70422.8438 100122.7969     10.8063
   292   4980.0000  70399.7422 100261.2109     10.4693
   293   4980.0000  69931.7734  98933.2891     73.7635
   294   4980.0000  69849.3438  99431.2578     29.2775
   295   4980.0000  69829.7891  99577.0000     24.6813
   296   4980.0000  69816.1016  99720.0938     22.1979
   297   4980.0000  70357.1016  98311.1016    163.2483
   298   4980.0000  70382.7031  98303.8438    105.8707
   299   4980.0000  70650.2812  98397.0547    155.3119
   300   4980.0000  70444.2266  98295.7188     66.7331
   301   4980.0000  70941.1484  98605.3438     40.0227
   302   4980.0000  70587.4062  98689.2734     78.4962
   303   4980.0000  70572.5703  98369.5391      5.8787
   304   4980.0000  70789.4453  98649.3438     56.7804
   305   4980.0000  69551.5469 100634.7031      0.0326
   306   4980.0000  70069.5078 100152.1719      4.5606
   307   4980.0000  70240.9141  98494.1328    225.7123
   308   4980.0000  70699.4219  98499.3750     41.8616
   309   4980.0000  70056.7891  98947.4609     54.4038
   310   4980.0000  70150.0703 100176.8594      7.5731
   311   4980.0000  70026.8125  98897.6719     72.5226
   312   4980.0000  69926.9766  98958.6719     79.0326
   313   4980.0000  69817.7344  99434.1641     21.8996
   314   4980.0000  69717.5391  99763.7969     11.2583
   315   4980.0000  69564.5391 100172.5312      6.3843
   316   4980.0000  69369.1953 100628.7500      4.4373
   317   4980.0000  69859.1406  98502.7031     65.3557
   318   4980.0000  70431.1328  98297.7422    135.3962
   319   4980.0000  70527.1406  98309.7812    118.0928
   320   4980.0000  69791.3516  98504.9062     14.1426
   321   4980.0000  70693.8984  98414.0000    122.8473
   322   4980.0000  70391.4922  98818.2266    160.4654
   323   4980.0000  70563.1484  98749.9844     80.2765
   324   4980.0000  70667.3750  98481.8672     14.3689
   325   4980.0000  70978.4844  98455.5391     11.2961
   326   4980.0000  70005.4688  99417.6641      3.3794
   327   4980.0000  70013.9766  98835.1250     17.6282
   328   4980.0000  70088.8281 100320.5625     10.8109
   329   4980.0000  69925.1562  98989.7656     98.2585
   330   4980.0000  69284.1641 100622.1094      3.8296
   331   4980.0000  70281.6172  98397.0469    243.2540
   332   4980.0000  70030.2031  98560.1406     71.0711
   333   4980.0000  70426.1719  98284.6250    101.0364
   334   4980.0000  70569.5625  98313.2812    109.5506
   335   4980.0000  70708.7031  98462.3672    141.5847
   336   4980.0000  70826.8125  98630.1719     83.7664
   337   4980.0000  70941.4766  98398.4141     18.4493
   338   4980.0000  70677.6719  98800.3828     53.3411
   339   4980.0000  70730.1094  98709.1719     38.7667
   340   4980.0000  70743.7812  98578.5469     23.9173
   341   4980.0000  70934.1562  98567.5469     21.5962
   342   4980.0000  70709.3516  98694.0234     66.7878
   343   4980.0000  70394.3359  98431.7031    151.6973
   344   4980.0000  70606.0703  98443.7578     44.1459
   345   4980.0000  69470.6875  99722.4219      4.8574
   346   4980.0000  70228.7188  98405.4688    190.1132
   347   4980.0000  70288.5234  98304.8828    206.3175
   348   4980.0000  70352.0703  98296.9922    185.2151
   349   4980.0000  70644.5703  98398.1797    250.5765
   350   4980.0000  70590.5391  98316.1328    125.7180
   351   4980.0000  70587.6016  98306.7109     80.4288
   352   4980.0000  70865.3906  98586.5781     69.0429
   353   4980.0000  70963.0469  98543.6875     11.5070
   354   4980.0000  70887.0156  98503.8984      7.2950
   355   4980.0000  70394.7188  98839.3516    158.0220
   356   4980.0000  70470.1016  98863.6172    127.7223
   357   4980.0000  70513.7031  98269.3281      3.0146
   358   4980.0000  70513.3281  98789.1406    114.6150
   359   4980.0000  70501.9297  98734.1641    209.2561
   360   4980.0000  70353.0625  98430.5078    111.3104
   361   4980.0000  70551.7891  98525.8125    203.2921
   362   4980.0000  70296.5156  98436.0156     56.9976
   363   4980.0000  70055.1875  99687.6484     14.3922
   364   4980.0000  69355.4609 100373.7031      0.0645
   365   4980.0000  69084.3047 100455.1875      2.7570
   366   4980.0000  69893.6484  98757.4922     41.5845
   367   4980.0000  70206.8672  98389.9453    185.2471
   368   4980.0000  70386.2578  98266.0312    183.9996
   369   4980.0000  70323.9297  98282.9531    177.9124
   370   4980.0000  70290.2734  98298.6094    165.3796
   371   4980.0000  70419.8516  98274.3125    114.0811
   372   4980.0000  70669.1641  98382.4844    200.1663
   373   4980.0000  70870.2656  98325.7500     14.1542
   374   4980.0000  70930.3281  98473.3125      5.7765
   375   4980.0000  70670.7344  98790.5938     68.4284
   376   4980.0000  70635.8516  98293.8047      3.7674
   377   4980.0000  70691.3516  98709.8281     55.6509
   378   4980.0000  70827.9062  98615.4844     33.0111
   379   4980.0000  70632.1172  98585.2656     73.4003
   380   4980.0000  70682.8828  98648.5859     53.2333
   381   4980.0000  70330.4453  98427.5234     62.0778
   382   4980.0000  70602.0156  98443.9062     38.4615
   383   4980.0000  69948.7109 100619.6094      0.5316
   384   4980.0000  70013.1172  98953.6406     16.4458
   385   4980.0000  69919.8438  98995.7344     95.7671
   386   4980.0000  69118.2734 100449.6250      3.0335
   387   4980.0000  69892.1484  98796.8906     44.5102
   388   4980.0000  69982.8594  98555.4844     65.5905
   389   4980.0000  70375.7266  98243.0391    123.0727
   390   4980.0000  70506.3281  98267.5469     85.5010
   391   4980.0000  70461.7969  98259.6875     34.5748
   392   4980.0000  70712.2422  98582.2344    152.1246
   393   4980.0000  70943.1641  98452.6562      5.8452
   394   4980.0000  70965.5859  98483.9844      9.6006
   395   4980.0000  70608.8125  98267.9766      3.1156
   396   4980.0000  70830.5547  98415.5703      9.0899
   397   4980.0000  69819.6562  98543.7812      1.1242
   398   4980.0000  70693.8125  98422.8203     23.5128
   399   4980.0000  70266.5391  98442.1406     19.7106
   400   4980.0000  69908.6797 100606.0469      0.3954
   401   4980.0000  70730.5156  98298.1250    161.6097
   402   4980.0000  70647.8516  98356.5469    221.8390
   403   4980.0000  70679.8203  98355.5234    168.5760
   404   4980.0000  70702.2188  98366.4297    137.2552
   405   4980.0000  70596.2031  98286.4844     64.1608
   406   4980.0000  70756.1328  98421.1328     93.5185
   407   4980.0000  69225.8750 100803.1250      4.2474
   408   4980.0000  70775.0625  98269.9766    127.5428
   409   4980.0000  70359.4531  98211.0781     77.5776
   410   4980.0000  70646.0781  98336.3594    208.5483
   411   4980.0000  70687.2188  98361.5938    186.4832
   412   4980.0000  70731.2578  98393.3281    163.2989
   413   4980.0000  70740.8359  98432.4062    155.8818
   414   4980.0000  70688.4297  98328.3281     67.9432
   415   4980.0000  70806.7109  98403.8359     57.8443
   416   4980.0000  70870.6953  98562.2891     68.0606
   417   4980.0000  69933.1719  98803.0703     82.6894
   418   4980.0000  70227.8984  98407.1172    225.3016
   419   4980.0000  70804.0703  98283.5781    142.9534
   420   4980.0000  70918.9141  98274.2500    140.5661
   421   4980.0000  70805.3281  98237.0625    101.4534
   422   4980.0000  70463.9375  98198.3984     80.5349
   423   4980.0000  70677.8672  98334.9688    171.4258
   424   4980.0000  70734.5703  98373.0703    152.9381
   425   4980.0000  70782.4688  98407.6484     76.1675
   426   4980.0000  70884.8906  98413.0234     33.5880
   427   4980.0000  70995.5156  98471.6953     44.6405
   428   4980.0000  70926.4688  98182.1953     96.8738
   429   4980.0000  70996.7031  98157.5859    136.6832
   430   4980.0000  70926.6875  98250.6953    106.0559
   431   4980.0000  70786.9531  98267.7500    105.2255
   432   4980.0000  70453.5625  98222.3594     89.6947
   433   4980.0000  70578.2656  98265.7422    122.5344
   434   4980.0000  70752.9297  98517.8516    220.4862
   435   4980.0000  70677.2031  98299.9688    109.9659
   436   4980.0000  70778.5000  98400.8984    130.0303
   437   4980.0000  70691.3281  98575.5078    222.9651
   438   4980.0000  70471.7109  98231.2578     32.2541
   439   4980.0000  70557.1250  98244.0078     26.4173
   440   4980.0000  70726.6172  98243.4297    132.4684
   441   4980.0000  70983.7031  98089.3359     99.8736
   442   4980.0000  70845.7734  98097.9922     66.9136
   443   4980.0000  70999.9531  98086.1875     89.3911
   444   4980.0000  70889.5000  98184.0156     76.5760
   445   4980.0000  70956.1875  98294.0078    148.6665
   446   4980.0000  70887.4844  98382.9531    135.6254
   447   4980.0000  70774.7344  98330.5547    127.2998
   448   4980.0000  70381.7500  98233.2266     72.2668
   449   4980.0000  70588.3750  98242.1719     77.0670
   450   4980.0000  70789.9844  98368.3438    105.2953
   451   4980.0000  70721.5312  98306.6797     66.0998
   452   4980.0000  70701.5703  98586.8203    192.3927
   453   4980.0000  70811.3672  98365.8750     44.6575
   454   4980.0000  70879.2734  98539.1641     68.6643
   455   4980.0000  70945.1719  98549.2969     66.6629
   456   4980.0000  69028.0156 100511.6953      3.0363
   457   4980.0000  70804.5078  98218.4219    113.0697
   458   4980.0000  70987.0000  97891.8516     79.3824
   459   4980.0000  71013.1562  97902.6406     83.7719
   460   4980.0000  70962.7734  98070.9453     65.7635
   461   4980.0000  70809.2031  98158.8203     64.7189
   462   4980.0000  70496.2812  98169.0078     59.3636
   463   4980.0000  70982.8828  98236.1172    107.3658
   464   4980.0000  70891.8281  98316.2891     99.5032
   465   4980.0000  70729.7188  98271.0547     95.4997
   466   4980.0000  70905.7344  98430.9609    142.1273
   467   4980.0000  70849.2422  98371.0703    108.5420
   468   4980.0000  70841.3906  98384.4453     98.9482
   469   4980.0000  70417.6797  98195.9062     31.3418
   470   4980.0000  70451.4141  98199.6953     26.0861
   471   4980.0000  70727.7031  98578.2344    185.3369
   472   4980.0000  70589.1562  98229.4062     29.4030
   473   4980.0000  70807.8047  98305.3906     22.6866
   474   4980.0000  70948.6953  98389.8281     27.0374
   475   4980.0000  71030.5547  98284.7266     21.4776
